username,champion,podium,points,updated_at,rank_history,paid,group_code
سوباسا,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-06-10T03:50:04.859+00:00,[],false,default
Sev,Argentina,"{""first"":""Argentina"",""third"":""Spain"",""second"":""France"",""topScorer"":""messi""}",0,2026-06-11T04:48:59.166+00:00,[],true,default
Verj,?,"{""first"":null,""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",0,2026-06-11T18:01:14.477+00:00,[],true,default
Arash,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-01T08:39:16.925+00:00,[],false,default
Narek,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",0,2026-06-11T02:09:17.458+00:00,[],false,default
Sohrab,?,"{""first"":null,""third"":null,""second"":null}",0,2026-05-31T00:12:16.89+00:00,[],false,default
Arby G,Spain,"{""first"":""Spain"",""third"":""Argentina"",""second"":""France"",""topScorer"":""Kylian Mbappe""}",0,2026-06-10T13:51:05.797+00:00,[],false,default
Germany Fan Since 82,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Kylian Mbappe""}",0,2026-06-11T05:49:26.016+00:00,[],true,default
Where'sTheLahmSauce,Netherlands,"{""first"":""Netherlands"",""third"":""England"",""second"":""Argentina"",""topScorer"":""Mbappe ""}",0,2026-06-10T04:23:53.077+00:00,[],false,default
Ramin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain"",""topScorer"":""Mbappe""}",0,2026-06-11T18:01:59.99+00:00,[],true,default
Arno Najarian,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Kylian Mbappe ""}",0,2026-06-11T06:23:51.287+00:00,[],true,default
Joseph blank,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Lamine yamal""}",0,2026-06-10T13:52:22.07+00:00,[],true,default
AraTotoKing,Portugal,"{""first"":""Portugal"",""third"":""Spain"",""second"":""Argentina"",""topScorer"":""Mbape ""}",0,2026-06-11T18:03:26.983+00:00,[],true,default
Edwin,?,"{""first"":""?"",""third"":""?"",""second"":""?""}",0,2026-06-06T03:13:57.245+00:00,[],false,EDWIN-LEAGUE
Arbi Madirossians,?,"{""first"":null,""third"":null,""second"":null}",0,2026-06-10T04:35:05.371+00:00,[],false,EDWIN-LEAGUE
Edmond,France,"{""first"":""France"",""third"":null,""second"":null,""topScorer"":null}",0,2026-06-09T23:47:47.216+00:00,[],false,default
Edwin N,Spain,"{""first"":""Spain"",""third"":""France"",""second"":""Argentina"",""topScorer"":""Mbpappe""}",0,2026-06-11T05:30:29.235+00:00,[],false,default
Leo Ohandjanians,Germany,"{""first"":""Germany"",""third"":""Spain"",""second"":""Brazil"",""topScorer"":""Erling Haaland ""}",0,2026-06-09T15:57:50.514+00:00,[],true,default
Edwin,France,"{""first"":""France"",""third"":""Argentina"",""second"":""Spain""}",0,2026-06-05T19:30:41.942+00:00,[],true,default
Art,Spain,"{""first"":""Spain"",""third"":""Germany"",""second"":""France"",""topScorer"":""Mbappe""}",0,2026-06-09T22:50:39.975+00:00,[],true,default
Raz,Spain,"{""first"":""Spain"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Kylian Mbappé""}",0,2026-06-09T02:35:33.154+00:00,[],false,default
IrishmanArtin,Argentina,"{""first"":""Argentina"",""third"":""Brazil"",""second"":""Spain"",""topScorer"":""Kane""}",0,2026-06-11T17:59:18.519+00:00,[],true,default
alenoua@gmail.com,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-06-09T03:47:37.092+00:00,[],false,default
Արթին,Spain,"{""first"":""Spain"",""third"":""Germany"",""second"":""Argentina"",""topScorer"":""Mbappe""}",0,2026-06-11T18:07:23.165+00:00,[],false,default
OliCR7,Portugal,"{""first"":""Portugal"",""third"":""Brazil"",""second"":""France"",""topScorer"":""Mbappe""}",0,2026-06-11T05:02:36.447+00:00,[],true,default
Zareh,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-06-11T17:59:47.76+00:00,[],false,default
Vazrik,France,"{""first"":""France"",""third"":null,""second"":null,""topScorer"":null}",0,2026-06-10T03:40:06.735+00:00,[],false,default
Poor Italy😩😩,France,"{""first"":""France"",""third"":""Spain"",""second"":""Brazil"",""topScorer"":""Kylian Mbappe""}",0,2026-06-11T05:46:47.166+00:00,[],true,default
narek,?,"{""first"":null,""third"":null,""second"":null,""topScorer"":null}",0,2026-06-11T02:07:03.045+00:00,[],false,EDWIN-LEAGUE
Andre G,Spain,"{""first"":""Spain"",""third"":""Mexico"",""second"":""France"",""topScorer"":""Erling haaland""}",0,2026-06-11T15:27:40.812+00:00,[],true,default
